"id","sequence","name","description","tax_group_id/id","type_tax_use","amount_type","amount","account_id/id","refund_account_id/id","price_include","children_tax_ids/id","tag_ids/id","chart_template_id/id"
,,,,,,,,,,,,,
"tax_tmpl_D-INO-P25",100,"INO Preporez 25% dobra","D-INO-P 25%",,"none","percent",25,"kp_rrif_14052","kp_rrif_14052","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-INO-O25",100,"INO Obveza PDV 25% dobra","D-INO-O 25%",,"none","percent",-25,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO25D",17,"Dobra van EU 25%","INO 25% D",,"purchase","group",,,,"FALSE","tax_tmpl_D-INO-P25,tax_tmpl_D-INO-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_U-INO-P25",100,"INO Preporez 25% usluge","U-INO-P 25%",,"none","percent",25,"kp_rrif_14052","kp_rrif_14052","FALSE",,"tax_tag_III_14","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_U-INO-O25",100,"INO Obveza PDV 25% usluge","U-INO-O 25%",,"none","percent",-25,"kp_rrif_2405","kp_rrif_2405","FALSE",,"tax_tag_II_15","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_INO25U",17,"Usluge van EU 25%","INO 25% U",,"purchase","group",,,,"FALSE","tax_tmpl_U-INO-P25,tax_tmpl_U-INO-O25",,"l10n_hr_coa_rrif_2015_template"
,,,,,,,,,,,,,
"tax_tmpl_D-BS25",120,"D-BS dobra 25%","D-BS 25%",,"purchase","percent",25,"kp_rrif_14040","kp_rrif_14040","FALSE",,"tax_tag_III_3","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-BS-P5",120,"D-BS dobra i usluge 5%","D-BS-P 5%",,"purchase","percent",5,"kp_rrif_14042","kp_rrif_14042","FALSE",,"tax_tag_III_1","l10n_hr_coa_rrif_2015_template"
"tax_tmpl_D-BS-P13",120,"D-BS dobra i usluge 13%","D-BS-P 13%",,"purchase","percent",13,"kp_rrif_14041","kp_rrif_14041","FALSE",,"tax_tag_III_2","l10n_hr_coa_rrif_2015_template"
